Kreis_code;Landkreis;Anzahl_Ladepunkte_0425
2000;Kreisfreie Stadt Hamburg;3461
6411;Kreisfreie Stadt Darmstadt;268
6412;Kreisfreie Stadt Frankfurt am Main;2052
6611;Kreisfreie Stadt Kassel;571
6413;Kreisfreie Stadt Offenbach am Main;97
6414;Kreisfreie Stadt Wiesbaden;1008
6431;Landkreis Bergstraße;474
6432;Landkreis Darmstadt-Dieburg;531
6631;Landkreis Fulda;584
6531;Landkreis Gießen;484
6433;Landkreis Groß-Gerau;1176
6632;Landkreis Hersfeld-Rotenburg;195
6434;Landkreis Hochtaunuskreis;384
6633;Landkreis Kassel;603
6532;Landkreis Lahn-Dill-Kreis;459
6533;Landkreis Limburg-Weilburg;383
6435;Landkreis Main-Kinzig-Kreis;833
6436;Landkreis Main-Taunus-Kreis;552
6534;Landkreis Marburg-Biedenkopf;400
6437;Landkreis Odenwaldkreis;142
6438;Landkreis Offenbach;557
6439;Landkreis Rheingau-Taunus-Kreis;284
6634;Landkreis Schwalm-Eder-Kreis;320
6535;Landkreis Vogelsbergkreis;217
6635;Landkreis Waldeck-Frankenberg;262
6636;Landkreis Werra-Meißner-Kreis;123
6440;Landkreis Wetteraukreis;417
13003;Kreisfreie Stadt Rostock;259
13004;Kreisfreie Stadt Schwerin;131
13076;Landkreis Ludwigslust-Parchim;242
13071;Landkreis Mecklenburgische Seenplatte;312
13074;Landkreis Nordwestmecklenburg;203
13072;Landkreis Rostock;341
13075;Landkreis Vorpommern-Greifswald;270
13073;Landkreis Vorpommern-Rügen;471
3101;Kreisfreie Stadt Braunschweig;853
3401;Kreisfreie Stadt Delmenhorst;107
3402;Kreisfreie Stadt Emden;215
3403;Kreisfreie Stadt Oldenburg (Oldb);269
3404;Kreisfreie Stadt Osnabrück;485
3102;Kreisfreie Stadt Salzgitter;276
3405;Kreisfreie Stadt Wilhelmshaven;88
3103;Kreisfreie Stadt Wolfsburg;967
3451;Landkreis Ammerland;191
3452;Landkreis Aurich;283
3351;Landkreis Celle;210
3453;Landkreis Cloppenburg;375
