Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;532921681;e;498149606;e;105184052;e;3467729953;e
2004;Steinkohlen;126565314;e;116640379;e;38353220;e;1211381597;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;154007907;e;142136151;e;9577643;e;1510698178;e
;Hartbraunkohlen;1264;e;1176;e;4954;e;32652;e
;Braunkohlenbriketts;32241;e;27374;e;174804;e;964518;e
;Braunkohlenkoks;-;;-;;-;;-;
;Wirbelschichtkohle;-;;-;;-;;-;
;Staub- und Trockenkohle;476618;e;428204;e;887458;e;7105108;e
;Sonstige Braunkohlen;502297;e;436979;e;284724;e;5804195;e
;Dieselkraftstoff;7540;e;7320;e;-;;91713;e
;Heizöl, leicht;524520;e;481346;e;702977;e;8271494;e
;Heizöl, schwer;468929;e;430681;e;322688;e;6233274;e
;Flüssiggas;497;e;482;e;23;e;7662;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;1571373;e;1460389;e;164270;e;15136484;e
;Sonstige Mineralölprodukte;1041871;e;954418;e;23431;e;9507978;e
;Erdgas, Erdölgas;46545713;e;44881966;e;50751965;e;486148177;e
;Grubengas;341322;e;313046;e;50687;e;3197237;e
;Kokereigas;46373;e;41983;e;-;;436738;e
;Hochofengas;3641624;e;3431558;e;395911;e;37266555;e
;Sonstige hergestellte Gase;268884;e;247225;e;713892;e;4256388;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15704242;e;15495952;e;-;;-;
;Speicherwasser;1689918;e;1661449;e;-;;-;
;Pumpspeicherwasser;6364152;e;6273414;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;294619;e;287560;e;-;;-;
;Photovoltaik;3111;e;3033;e;-;;-;
;Geothermie;-;;-;;10896;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;740095;e;675775;e;1133647;e;13339763;e
;Flüssige biogene Stoffe;-;;-;;-;;-;
;Biogas;19896;e;18696;e;30381;e;294854;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;20956;e;20146;e;25449;e;248723;e
;Deponiegas;184202;e;180303;e;67850;e;1417891;e
;Sonstige erneuerbare Energien;210216;e;193419;e;31293;e;1975847;e
;Klärschlamm;158573;e;137523;e;68253;e;870906;e
;Abfall (Hausmüll, Industrie);4232557;e;3094260;e;6745422;e;80803387;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;167064610;e;158378455;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;541723;e;476302;e;1164053;e;6180997;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;533273156;e;498816963;e;111685890;e;3411672316;e
2005;Steinkohlen;122759695;e;112973019;e;35021990;e;1167867638;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;150127463;e;138205072;e;9435195;e;1464839426;e
;Hartbraunkohlen;-;;-;;-;;-;
;Braunkohlenbriketts;49040;e;42768;e;191399;e;1230506;e
;Braunkohlenkoks;-;;-;;-;;-;
;Wirbelschichtkohle;304690;e;250766;e;297185;e;4277834;e
;Staub- und Trockenkohle;545007;e;493265;e;919604;e;8098645;e
;Sonstige Braunkohlen;196752;e;186717;e;22213;e;1765695;e
;Dieselkraftstoff;10010;e;9631;e;91;e;101296;e
;Heizöl, leicht;839104;e;780815;e;719532;e;10404443;e
;Heizöl, schwer;533804;e;492848;e;105556;e;5252441;e
;Flüssiggas;1488;e;1409;e;4127;e;27194;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;2079635;e;1912373;e;182584;e;18474276;e
;Sonstige Mineralölprodukte;1206490;e;1118141;e;32383;e;10894767;e
;Erdgas, Erdölgas;54148538;e;52310469;e;52708405;e;543510467;e
;Grubengas;412950;e;377588;e;92644;e;3974079;e
;Kokereigas;47386;e;42711;e;-;;449367;e
;Hochofengas;2922480;e;2743325;e;40964;e;26639718;e
;Sonstige hergestellte Gase;275682;e;253826;e;770757;e;4343951;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15283518;e;15019200;e;-;;-;
;Speicherwasser;636645;e;622529;e;-;;-;
;Pumpspeicherwasser;7429476;e;7308298;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;312331;e;308214;e;-;;-;
;Photovoltaik;4852;e;4758;e;-;;-;
;Geothermie;-;;-;;27240;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;1633904;e;1542490;e;1286436;e;22108599;e
;Flüssige biogene Stoffe;18940;e;17864;e;8681;e;169004;e
;Biogas;18531;e;17191;e;24588;e;259253;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;21770;e;20986;e;25249;e;233500;e
;Deponiegas;207231;e;201636;e;93859;e;1687549;e
;Sonstige erneuerbare Energien;544476;e;501970;e;40352;e;5102397;e
;Klärschlamm;171350;e;155546;e;11345;e;2368672;e
;Abfall (Hausmüll, Industrie);6074878;e;4524206;e;8341577;e;123347324;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;163054688;e;154612294;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;512764;e;461587;e;880057;e;6541665;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;532385569;e;497513512;e;111284014;e;3433969707;e
2006;Steinkohlen;126259053;e;116470179;e;33246400;e;1224743008;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;147047110;e;135087260;e;9240385;e;1435285598;e
;Hartbraunkohlen;65284;e;54358;e;208041;e;1122416;e
;Braunkohlenbriketts;43568;e;37399;e;191926;e;1164900;e
;Braunkohlenkoks;2571;e;1875;e;397;e;63508;e
;Wirbelschichtkohle;353068;e;287805;e;263992;e;4660425;e
;Staub- und Trockenkohle;400481;e;347581;e;830194;e;6984084;e
;Sonstige Braunkohlen;157652;e;148615;e;19253;e;1410306;e
;Dieselkraftstoff;9601;e;9156;e;13;e;97438;e
;Heizöl, leicht;647097;e;588317;e;672844;e;8763270;e
;Heizöl, schwer;702999;e;648098;e;85811;e;6804539;e
;Flüssiggas;-;;-;;-;;-;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;1344827;e;1247656;e;112710;e;12485925;e
;Sonstige Mineralölprodukte;916993;e;840672;e;30819;e;8370012;e
;Erdgas, Erdölgas;56826926;e;54957743;e;55344221;e;562535640;e
;Grubengas;525560;e;488123;e;109610;e;5044423;e
;Kokereigas;31311;e;28802;e;-;;298037;e
;Hochofengas;2845856;e;2661588;e;38390;e;27615299;e
;Sonstige hergestellte Gase;233565;e;216877;e;560335;e;3882087;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15586139;e;15295979;e;-;;-;
;Speicherwasser;616554;e;607389;e;-;;-;
;Pumpspeicherwasser;7372997;e;7244619;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;341157;e;340178;e;-;;-;
;Photovoltaik;5234;e;5188;e;-;;-;
;Geothermie;-;;-;;32349;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;1863611;e;1726401;e;1347180;e;28855056;e
;Flüssige biogene Stoffe;38692;e;36419;e;17522;e;335701;e
;Biogas;11914;e;10831;e;20130;e;163387;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;25047;e;24227;e;27681;e;370509;e
;Deponiegas;191656;e;183550;e;121467;e;1983283;e
;Sonstige erneuerbare Energien;394702;e;364128;e;27;e;3540908;e
;Klärschlamm;210540;e;191679;e;12178;e;1814136;e
;Abfall (Hausmüll, Industrie);7267272;e;5523465;e;9222013;e;141014114;e
;Abfall (Industrie);-;;-;;-;;-;
;Abfall (Hausmüll, Siedlungsabfälle);-;;-;;-;;-;
;Kernenergie;167269153;e;158710790;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;573247;e;541038;e;956383;e;7552800;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;540181439;e;504927984;e;112712270;e;3496960811;e
2007;Steinkohlen;129095345;e;119131139;e;31627884;e;1256452411;e
;Steinkohlenkoks;-;;-;;4484;e;48779;e
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;150681562;e;138564709;e;8881049;e;1475429666;e
;Hartbraunkohlen;73464;e;60274;e;238069;e;1281180;e
;Braunkohlenbriketts;56831;e;50551;e;167931;e;1177147;e
