Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;;;;;;;
Deutschland;;;;;;;;;
;;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);;Nettowärmeerzeugung;;Brennstoffeinsatz;
;;MWh;MWh;MWh;MWh;MWh;MWh;GJ;GJ
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;141459454;e;130429246;e;9632752;e;1357698042;e
;Hartbraunkohlen;-;;-;;0;e;0;e
;Braunkohlenbriketts;23734;e;20922;e;54251;e;430544;e
;Braunkohlenkoks;1559;e;1173;e;597;e;35801;e
;Wirbelschichtkohle;382877;e;327134;e;455380;e;5273501;e
;Staub- und Trockenkohle;134590;e;122999;e;378426;e;2840971;e
;Sonstige Braunkohlen;29103;e;27431;e;6763;e;265719;e
;Dieselkraftstoff;2294;e;2057;e;1;e;42371;e
;Heizöl, leicht;547108;e;495363;e;523662;e;8200059;e
;Heizöl, schwer;600059;e;555281;e;260324;e;6407926;e
;Flüssiggas;24;e;24;e;1980;e;10275;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;107738;e;101013;e;4729;e;1009573;e
;Sonstige Mineralölprodukte;1630450;e;1491182;e;40904;e;14559309;e
;Erdgas, Erdölgas;64963290;e;63091283;e;53873600;e;607452596;e
;Grubengas;386887;e;381784;e;73864;e;3480233;e
;Kokereigas;512866;e;476601;e;8681;e;4673022;e
;Hochofengas;2610581;e;2408477;e;26604;e;24212563;e
;Sonstige hergestellte Gase;30103;e;30103;e;66475;e;384764;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;16002093;e;15758649;e;-;;-;
;Speicherwasser;699252;e;691834;e;-;;-;
;Pumpspeicherwasser;6928750;e;6799167;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;420703;e;419334;e;-;;-;
;Photovoltaik;17436;e;17435;e;1;e;-;
;Geothermie;16494;e;11858;e;45956;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;3620581;e;3278135;e;3135967;e;54115738;e
;Flüssige biogene Stoffe;46932;e;44073;e;56548;e;570799;e
;Biogas;202335;e;196748;e;199914;e;2378552;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;32346;e;29387;e;55808;e;440643;e
;Deponiegas;100350;e;89394;e;31238;e;876547;e
;Sonstige erneuerbare Energien;442;e;442;e;-;;-;
;Klärschlamm;160591;e;145977;e;16572;e;1515569;e
;Abfall (Hausmüll, Industrie);10175079;e;8020179;e;13294922;e;193764577;e
;Abfall (Industrie);1287406;e;1034237;e;2187537;e;26363957;e
;Abfall (Hausmüll, Siedlungsabfälle);8887673;e;6985942;e;11107385;e;167400620;e
;Kernenergie;140556453;e;132970651;e;-;;-;
;Wärme;-;;-;;-;;-;
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;524848;e;487452;e;1328634;e;10141153;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;501331232;e;468628742;e;118219312;e;3367109492;e
2011;Steinkohlen;104856166;e;96498708;e;30523889;e;1026562591;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;145474852;e;134056254;e;9319537;e;1399328055;e
;Hartbraunkohlen;-;;-;;-;;-;
;Braunkohlenbriketts;31624;e;27693;e;83151;e;632018;e
;Braunkohlenkoks;6641;e;5068;e;10146;e;151524;e
;Wirbelschichtkohle;591359;e;518777;e;562123;e;7143812;e
;Staub- und Trockenkohle;173018;e;160005;e;340186;e;2999018;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;2640;e;2432;e;1215;e;25827;e
;Heizöl, leicht;524410;e;477113;e;246780;e;6871656;e
;Heizöl, schwer;462887;e;428810;e;182372;e;5014754;e
;Flüssiggas;24;e;24;e;1819;e;8858;e
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;33373;e;30594;e;-;;307841;e
;Sonstige Mineralölprodukte;800128;e;729249;e;25598;e;7034621;e
;Erdgas, Erdölgas;61598067;e;59760963;e;47022530;e;557993680;e
;Grubengas;398047;e;393635;e;64568;e;3458550;e
;Kokereigas;431380;e;403312;e;9224;e;4059539;e
;Hochofengas;2504770;e;2329829;e;34768;e;23646528;e
;Sonstige hergestellte Gase;29367;e;28168;e;67153;e;417240;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;13764968;e;13441781;e;-;;-;
;Speicherwasser;535739;e;532653;e;-;;-;
;Pumpspeicherwasser;6245567;e;6099241;e;-;;-;
;Pumpspeicher mit natürlichem Zufluss;-;;-;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;-;;-;;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;10243;e;10243;e;361;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4034615;e;3628110;e;3942852;e;62594118;e
;Flüssige biogene Stoffe;8453;e;7550;e;25443;e;176192;e
;Biogas;299766;e;292323;e;305756;e;3264249;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;32921;e;30332;e;55160;e;437600;e
;Deponiegas;75227;e;71212;e;29254;e;765145;e
;Sonstige erneuerbare Energien;520;e;520;e;-;;362294;e
;Klärschlamm;136317;e;124670;e;15091;e;1302993;e
;Abfall (Hausmüll, Industrie);10529366;e;8353124;e;13051547;e;196084530;e
;Abfall (Industrie);1428821;e;1141420;e;2479536;e;27349900;e
;Abfall (Hausmüll, Siedlungsabfälle);9100545;e;7211704;e;10572011;e;168734630;e
;Kernenergie;107971228;e;102240621;e;-;;-;
;Wärme;270483;e;259051;e;576911;e;5353477;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;267907;e;240325;e;842611;e;5206254;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;462102068;e;431182390;e;107340046;e;3321202964;e
2012;Steinkohlen;115347734;e;105829825;e;32598299;e;1129039962;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;153543991;e;141867568;e;9551664;e;1460296349;e
;Hartbraunkohlen;-;;-;;-;;88141;e
;Braunkohlenbriketts;34609;e;30708;e;81821;e;674790;e
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;670946;e;594334;e;716977;e;8092760;e
;Staub- und Trockenkohle;201542;e;183844;e;430239;e;3662487;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;2021;e;1933;e;-;;25501;e
;Heizöl, leicht;533875;e;486862;e;415831;e;7564048;e
;Heizöl, schwer;447183;e;412889;e;214542;e;4939111;e
;Flüssiggas;.;;.;;1937;e;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;-;;.;
;Sonstige Mineralölprodukte;1375208;e;1251192;e;38025;e;12526766;e
;Erdgas, Erdölgas;51448794;e;49867958;e;46545173;e;487758589;e
;Grubengas;345198;e;341172;e;70780;e;.;
;Kokereigas;.;;.;;6799;e;.;
;Hochofengas;.;;.;;23204;e;.;
;Sonstige hergestellte Gase;.;;.;;2381;e;11588;e
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;16925429;e;16585896;e;-;;-;
;Speicherwasser;804633;e;800037;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;560235;e;544428;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;6094416;e;5941046;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;.;;.;;2997;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;3990884;e;3586681;e;4245486;e;63428453;e
;Flüssige biogene Stoffe;.;;.;;35093;e;.;
;Biogas;574907;e;557435;e;520180;e;6436101;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;41562;e;38487;e;64920;e;530483;e
;Deponiegas;73956;e;70593;e;29559;e;779612;e
;Sonstige erneuerbare Energien;.;;.;;-;;.;
;Klärschlamm;123669;e;113258;e;16787;e;1187186;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);1340490;e;1074009;e;2281184;e;26047219;e
;Abfall (Hausmüll, Siedlungsabfälle);9439875;e;7520808;e;12158816;e;184795894;e
;Kernenergie;99460199;e;94180287;e;-;;-;
;Wärme;316685;e;305705;e;768815;e;6356869;p
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;241330;e;215848;e;806350;e;4919859;p
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;467227654;e;435448764;e;111641600;e;3443646883;e
2013;Steinkohlen;120700847;e;110723985;e;34564898;e;1187739028;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;156102741;e;145121600;e;10073732;e;1464598153;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;78252;e;70221;e;.;;941156;e
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;215292;e;194947;e;550623;e;3877009;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;636;e;588;e;.;;8079;e
;Heizöl, leicht;618462;e;566103;e;313970;e;8426073;e
;Heizöl, schwer;458624;e;420833;e;158307;e;4894848;e
;Flüssiggas;.;;.;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;.;;.;;.;;.;
;Erdgas, Erdölgas;40924932;e;39584447;e;45112886;e;414281592;e
;Grubengas;326578;e;322908;e;68069;e;.;
;Kokereigas;.;;.;;.;;.;
;Hochofengas;.;;.;;.;;.;
;Sonstige hergestellte Gase;-;;-;;-;;-;
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;16116706;e;15885857;e;-;;-;
;Speicherwasser;726084;e;720889;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;687216;e;661885;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;5784124;e;5651419;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;66634;e;57565;e;.;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4442525;e;4010439;e;4494140;e;69757388;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;860687;e;833259;e;795144;e;8681334;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;43637;e;40508;e;60545;e;656589;e
;Deponiegas;60086;e;57388;e;26819;e;640742;e
;Sonstige erneuerbare Energien;.;;.;;-;;1609205;e
;Klärschlamm;120292;e;110496;e;19758;e;1142083;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);944626;e;754149;e;1385270;e;18943852;e
;Abfall (Hausmüll, Siedlungsabfälle);10230725;e;8094470;e;13741866;e;197457747;e
;Kernenergie;97290037;e;92127246;e;-;;-;
;Wärme;472280;e;417238;e;1751434;e;11860515;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;462542646;e;431269663;e;114365090;e;3449358661;e
2014;Steinkohlen;117517017;e;107734162;e;29756571;e;1130453959;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;151580242;e;140791233;e;9064781;e;1426257744;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;131608;e;118299;e;.;;1447704;e
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;249330;e;227178;e;497615;e;3972619;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;412;e;407;e;.;;4289;e
;Heizöl, leicht;556331;e;511960;e;221367;e;8174812;e
;Heizöl, schwer;391988;e;359904;e;.;;4319969;e
;Flüssiggas;.;;.;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;121521;e
;Sonstige Mineralölprodukte;.;;.;;.;;.;
;Erdgas, Erdölgas;32308958;e;31122121;e;39155997;e;338165895;e
;Grubengas;.;;.;;.;;.;
;Kokereigas;.;;.;;.;;.;
;Hochofengas;.;;.;;.;;.;
;Sonstige hergestellte Gase;.;;.;;-;;.;
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15172573;e;14965005;e;-;;-;
;Speicherwasser;551477;e;544901;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;411388;e;395088;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;5856899;e;5737565;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;95028;e;65117;e;.;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4747787;e;4281010;e;4556665;e;75444776;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1169481;e;1135402;e;1172970;e;11728870;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;33856;e;32538;e;38515;e;462747;e
;Deponiegas;79011;e;75516;e;38197;e;854804;e
;Sonstige erneuerbare Energien;.;;.;;-;;2947894;e
;Klärschlamm;131877;e;120755;e;21809;e;1275570;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);1138843;e;899880;e;1526102;e;21833302;e
;Abfall (Hausmüll, Siedlungsabfälle);11591851;e;9203022;e;14059587;e;209501350;e
;Kernenergie;97129277;e;91800049;e;-;;-;
;Wärme;591779;e;558989;e;1642406;e;11553148;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;445529657;e;414426524;e;103010421;e;3287209397;e
2015;Steinkohlen;116802799;e;106207512;e;30636247;e;1085666523;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;150072555;e;139371157;e;9484826;e;1414792022;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;1933991;e
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;307569;e;280996;e;482279;e;4233823;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;516;e;512;e;.;;4979;e
;Heizöl, leicht;600592;e;540851;e;245458;e;7479438;e
;Heizöl, schwer;396993;e;362717;e;113525;e;4208890;e
;Flüssiggas;.;;.;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;.;;.;;.;;.;
;Erdgas, Erdölgas;31276477;e;30123230;e;39833970;e;332615271;e
;Grubengas;.;;.;;.;;.;
;Kokereigas;.;;.;;-;;.;
;Hochofengas;.;;.;;.;;.;
;Sonstige hergestellte Gase;.;;.;;-;;.;
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;14674460;e;14439342;e;-;;-;
;Speicherwasser;567793;e;562092;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;466343;e;446544;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;5921283;e;5798667;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;134121;e;91531;e;.;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;4867912;e;4376182;e;5153261;e;77699213;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1707025;e;1656879;e;1708636;e;16504082;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;42343;e;39870;e;61661;e;538137;e
;Deponiegas;86314;e;83699;e;52199;e;893121;e
;Sonstige erneuerbare Energien;-;;-;;-;;3674234;e
;Klärschlamm;160554;e;145956;e;32415;e;1596045;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);1054020;e;822491;e;1842178;e;21768933;e
;Abfall (Hausmüll, Siedlungsabfälle);11020301;e;8678620;e;14494232;e;204670819;e
;Kernenergie;91786311;e;86765005;e;-;;-;
;Wärme;566358;e;535377;e;1795356;e;11959498;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;33485;e;31972;e;96361;e;505255;e
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;434397435;e;403042069;e;107290072;e;3207915120;e
2016;Steinkohlen;108833367;e;99764932;e;28178334;e;1014394870;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;145250858;e;134885572;e;9083890;e;1367880178;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;209935;e;191571;e;405298;e;3183422;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;383;e;375;e;-;;3348;e
;Heizöl, leicht;656029;e;602330;e;313273;e;8325308;e
;Heizöl, schwer;376073;e;343823;e;.;;4155230;e
;Flüssiggas;.;;.;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;116767;e;108741;e;.;;1127466;e
;Erdgas, Erdölgas;47900135;e;46503022;e;44807528;e;452404493;e
;Grubengas;.;;.;;.;;.;
;Kokereigas;.;;.;;-;;.;
;Hochofengas;.;;.;;.;;.;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15966237;e;15710923;e;-;;-;
;Speicherwasser;634219;e;628060;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;.;;.;;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;5588359;e;5450754;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;162463;e;152649;e;.;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;5187392;e;4682300;e;5561659;e;80097911;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1778272;e;1730985;e;1753129;e;17023006;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;45429;e;41984;e;72960;e;617631;e
;Deponiegas;75615;e;72410;e;51164;e;768508;e
;Sonstige erneuerbare Energien;-;;-;;-;;2950977;e
;Klärschlamm;145674;e;131821;e;27937;e;1465776;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);1184001;e;942119;e;1697268;e;22834442;e
;Abfall (Hausmüll, Siedlungsabfälle);11317639;e;9003435;e;14780178;e;215867255;e
;Kernenergie;84634367;e;80038154;e;-;;-;
;Wärme;546944;e;525934;e;1396538;e;10128337;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;51255;e;48524;e;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;432429503;e;403201939;e;109667940;e;3217116112;e
2017;Steinkohlen;89461230;e;81723616;e;26497089;e;826739480;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;144182920;e;133983238;e;8203535;e;1349075685;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;161552;e;147110;e;.;;2418776;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;672;e;671;e;-;;.;
;Heizöl, leicht;663322;e;603436;e;292975;e;7904059;e
;Heizöl, schwer;335913;e;307094;e;.;;3730539;e
;Flüssiggas;.;;.;;.;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;139657;e;130035;e;.;;1382690;e
;Erdgas, Erdölgas;50665930;e;48956363;e;47197143;e;473515379;e
;Grubengas;.;;.;;.;;.;
;Kokereigas;.;;.;;-;;.;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;-;;-;;-;;-;
;Laufwasser;15688945;e;15566110;e;-;;-;
;Speicherwasser;626932;e;621852;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;479151;e;468963;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;6004580;e;5909658;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;152826;e;147306;e;159347;e;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;5211906;e;4703454;e;5427041;e;79254335;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1806365;e;1757634;e;1754165;e;17358400;e
;Biomethan (Bioerdgas);-;;-;;-;;-;
;Klärgas;38115;e;35401;e;68239;e;473464;e
;Deponiegas;70628;e;67784;e;49737;e;705286;e
;Sonstige erneuerbare Energien;-;;-;;-;;4285859;e
;Klärschlamm;115743;e;104270;e;32888;e;1216243;e
;Abfall (Hausmüll, Industrie);0;p;-;;-;;-;
;Abfall (Industrie);1085699;e;864337;e;1686228;e;20979273;e
;Abfall (Hausmüll, Siedlungsabfälle);11349734;e;9103611;e;15750034;e;221108088;e
;Kernenergie;76324401;e;72154982;e;-;;-;
;Wärme;533026;e;515226;e;1413245;e;10054145;e
;Strom (Elektrokessel);-;;-;;-;;-;
;Sonstige Energieträger;51925;e;49113;e;.;;.;
;Andere Speicher;-;;-;;-;;-;
;Insgesamt;406283417;e;378941374;e;109937974;e;3033274613;e
2018;Steinkohlen;79335802;e;72406068;e;28088506;e;743374068;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;141293804;e;131497568;e;6930171;e;1318513894;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;147989;e;134813;e;.;;2227803;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;526;e;513;e;.;;5262;e
;Heizöl, leicht;491790;e;455810;e;266904;e;5797553;e
;Heizöl, schwer;242804;e;222275;e;67103;e;2536208;e
;Flüssiggas;.;;.;;-;;.;
;Raffineriegas;-;;-;;-;;-;
;Petrolkoks;.;;.;;.;;.;
;Sonstige Mineralölprodukte;111323;e;103614;e;.;;1120318;e
;Erdgas, Erdölgas;46282099;e;44533130;e;44348813;e;443186172;e
;Grubengas;281473;e;273568;e;.;;2527151;e
;Kokereigas;.;;.;;-;;.;
;Hochofengas;-;;-;;-;;-;
;Sonstige hergestellte Gase;.;;.;;.;;.;
;Wasserstoff;.;;.;;.;;.;
;Laufwasser;13986518;e;13859807;e;-;;-;
;Speicherwasser;532335;e;528215;e;-;;-;
;Pumpspeicherwasser;-;;-;;-;;-;
;Pumpspeicher mit natürlichem Zufluss;1075502;e;1075502;e;-;;-;
;Pumpspeicher ohne natürlichen Zufluss;5585580;e;5585580;e;-;;-;
;Windkraft;-;;-;;-;;-;
;Photovoltaik;-;;-;;-;;-;
;Geothermie;-;;-;;-;;-;
;Wärmepumpen (Erd- und Umweltwärme);-;;-;;-;;-;
;Solarthermie;-;;-;;-;;-;
;Feste biogene Stoffe;5162209;e;4621835;e;5117046;e;77502113;e
;Flüssige biogene Stoffe;.;;.;;.;;.;
;Biogas;1846768;e;1776952;e;1417919;e;17336388;e
;Biomethan (Bioerdgas);783692;e;766718;e;919136;e;7416726;e
;Klärgas;26547;e;24718;e;.;;379459;e
;Deponiegas;58562;e;53824;e;50700;e;571439;e
;Sonstige erneuerbare Energien;-;;-;;-;;-;
;Klärschlamm;299367;e;273647;e;38257;e;3064475;e
;Abfall (Hausmüll, Industrie);-;;-;;-;;-;
;Abfall (Industrie);678735;e;532109;e;1281688;e;12875214;e
;Abfall (Hausmüll, Siedlungsabfälle);11753792;e;9368344;e;16503200;e;195744840;e
;Kernenergie;76004802;e;71866451;e;-;;-;
;Wärme;480932;e;461980;e;1443304;e;10218150;e
;Strom (Elektrokessel);-;;-;;.;;.;
;Sonstige Energieträger;.;;.;;.;;.;
;Andere Speicher;73796;e;73796;e;-;;-;
;Insgesamt;387499606;e;361342016;e;108214657;e;2856853436;e
2019;Steinkohlen;54522044;e;49502524;e;24480483;e;535206840;e
;Steinkohlenkoks;-;;-;;-;;-;
;Steinkohlenbriketts;-;;-;;-;;-;
;Kohlenwertstoffe aus Steinkohle;-;;-;;-;;-;
;Sonstige Steinkohlen;-;;-;;-;;-;
;Rohbraunkohlen;109976601;e;101924391;e;6258649;e;1023023270;e
;Hartbraunkohlen;.;;.;;.;;.;
;Braunkohlenbriketts;.;;.;;.;;.;
;Braunkohlenkoks;.;;.;;.;;.;
;Wirbelschichtkohle;.;;.;;.;;.;
;Staub- und Trockenkohle;115591;e;105756;e;.;;1876590;e
;Sonstige Braunkohlen;-;;-;;-;;-;
;Dieselkraftstoff;470;e;453;e;.;;5719;e
;Heizöl, leicht;474702;e;435205;e;198653;e;5286852;e
;Heizöl, schwer;217742;e;196805;e;82154;e;2307891;e
;Flüssiggas;-;;-;;.;;.;
