Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
BMW;X5 xDrive50e Steptronic Sport;SP/E;360;97300;168,2;123,7;102,1;81,8;35;Oberklasse-SUV
Citroën;C5 Aircross Plug-In-Hybrid 225 Stop&Start Plus e-EAT8;S/E;165;47500;90,1;66,5;55,4;43,9;35;Kompakt-SUV
Citroën;C4 PureTech 130 Plus EAT8;S;96;25350;67;51,6;43,9;36,3;35;Kompaktklasse
Citroën;C5 Aircross BlueHDi 130 Stop&Start Max EAT8;D;96;36160;80;59,3;49,3;39,2;35;Kompakt-SUV
Citroën;e-Berlingo M Plus;E;100;36940;79,6;59;48,8;38,2;35;Hochdachkombi / Kompaktvan
Citroën;e-C3 Aircross You;E;83;26490;59,4;44,8;37,3;29,8;35;Kleinwagen-SUV
Citroën;C3 Aircross Turbo 100 You;S;74;18790;58,7;45,4;38,8;32,5;35;Kleinwagen-SUV
Citroën;e-C3 You;E;83;23300;56,9;42,9;35,6;28,4;35;Kleinwagen
Citroën;C3 Turbo 100 You;S;74;15990;54,6;41,4;35,9;29,3;35;Kleinwagen
Citroën;e-C4 136 You;E;100;31900;69,7;51,8;42,6;33,3;35;Kompaktklasse
Citroën;e-C4 156 Plus;E;115;34100;74,7;55,3;45,3;35,4;35;Kompaktklasse
Citroën;e-C4 X 136 You;E;100;32600;72,9;53,9;44,2;34,4;35;Kompaktklasse 
Citroën;e-C4 X 156 Plus;E;115;34800;77,1;56,9;46,6;36,3;35;Kompaktklasse 
Citroën;e-Jumpy Kombi M (50 kWh);E;100;44230;104,5;75,6;61,4;46,8;35;Van
Citroën;e-Spacetourer M (50 kWh) Plus;E;100;46230;109,2;79,2;64,6;49,4;35;Van
CUPRA;Born (60 kWh);E;170;41450;84,7;62,3;51,5;40,4;35;Kompaktklasse
CUPRA;Leon VZ 2.0 TSI DSG;SP;221;48140;105;79,4;67,1;55,1;35;Kompaktklasse
CUPRA;Leon 2.0 TDI DSG;D;110;41725;89,5;65,3;54,7;43,7;35;Kompaktklasse
CUPRA;Born (77 kWh);E;170;47250;92,4;67,3;55,3;43;35;Kompaktklasse
CUPRA;Born VZ;E;240;52770;102,8;75,7;62,7;49,3;35;Kompaktklasse 
CUPRA;Formentor 1.5 e-HYBRID DSG;S/E;150;48030;86,7;65,1;54,4;44;35;Kompakt-SUV 
CUPRA;Formentor 1.5 TSI;S;110;39420;83,7;63,5;54;44,4;35;Kompakt-SUV 
CUPRA;Formentor 2.0 TDI DSG;D;110;44040;92,6;67,9;56,7;45,1;35;Kompakt-SUV 
CUPRA;Leon 1.5 e-HYBRID DSG;S/E;150;43350;84,7;62,9;52,2;41,7;35;Kompaktklasse
CUPRA;Leon Sportstourer 1.5 e-HYBRID DSG;S/E;150;45545;85,2;63,6;52,8;42,4;35;Kompaktklasse
CUPRA;Leon Sportstourer VZ 2.0 TSI 4Drive DSG;SP;245;53610;112,8;85,4;72,2;59,2;35;Kompaktklasse 
CUPRA;Leon Sportstourer 2.0 TDI DSG;D;110;43950;89,6;65,6;55;44,2;35;Kompaktklasse
CUPRA;Tavascan Endurance;E;210;53240;99,7;73,7;61,2;48,3;35;Mittelklasse-SUV 
CUPRA;Ateca 1.5 TSI DSG;S;110;43380;86,8;66,1;56,6;46,6;35;Kompakt-SUV
CUPRA;Terramar 1.5 e-HYBRID DSG;S/E;150;50030;88;66;55,5;45;35;Kompakt-SUV
CUPRA;Terramar 1.5 ETSI DSG;S;110;43020;84,1;64,2;54,7;45,3;35;Kompakt-SUV
Dacia;Spring Electric 45 Essential;E;33;16900;43,4;32,2;27,3;21,5;35;Kleinstwagen
DS Automobiles;DS 3 E-Tense Pallas;E;115;41500;81,7;60,9;50;39,3;35;Kleinwagen-SUV
DS Automobiles;DS 3 MHEV 136 Pallas eDCT-6;S;100;32690;71,6;54,5;45,6;37;35;Kleinwagen-SUV
DS Automobiles;DS 4 Plug-in-Hybrid 225 Pallas Automatik;S/E;165;44900;89,7;67,2;55,7;44,3;35;Kompaktklasse
DS Automobiles;DS 4 Hybrid 136 Pallas eDCT-6;S;100;38640;84,8;63,5;53;42,4;35;Kompaktklasse
DS Automobiles;DS 4 BlueHDi 130 Pallas Automatik;D;96;39640;88,4;65;53,6;42;35;Kompaktklasse
DS Automobiles;DS 7 E-Tense 225 Pallas Automatik;S/E;165;53400;98,8;74,4;62,6;50,1;35;Kompakt-SUV
DS Automobiles;DS 7 BlueHDi 130 Pallas Automatik;D;96;48160;96,4;71,2;59,1;46,5;35;Kompakt-SUV
Fiat;500e (23,8 kWh) RED;E;70;29490;63,7;47,2;39;30,6;35;Kleinstwagen
Fiat;500e (42 kWh) RED;E;87;33490;68,5;50,6;41,7;32,7;35;Kleinstwagen
Fiat;500e 3+1 (23,8 kWh) RED;E;70;30490;66,3;49,3;40,7;32;35;Kleinstwagen
Fiat;Pandina 1.0 GSE Hybrid Cross;S;51;19990;55,2;41,8;36,2;30,1;35;Kleinstwagen
Fiat;500e 3+1 (42 kWh) RED;E;87;34490;70,5;52,2;43,1;33,9;35;Kleinstwagen
Fiat;500e Cabrio (23,8 kWh) RED;E;70;32490;68,4;50,6;41,6;32,6;35;Kleinstwagen
Fiat;500e Cabrio (42 kWh) RED;E;87;36490;73,7;54,3;44,6;34,8;35;Kleinstwagen
Fiat;600e RED;E;115;36490;79,9;59,2;48,6;38,1;35;Kleinwagen-SUV
