Hersteller;Modell;Antrieb;Leistung (kW);Grundpreis ;10k;15k;20k;30k;Strom_cent_kWh;Segment
Citroën;e-C4 136 You;E;100;31900;67,2;49,2;40;30,8;18;Kompaktklasse
Citroën;e-C4 156 Plus;E;115;34100;72,2;52,8;42,9;32,9;18;Kompaktklasse
Citroën;e-C4 X 136 You;E;100;32600;70,4;51,4;41,7;31,9;18;Kompaktklasse 
Citroën;e-C4 X 156 Plus;E;115;34800;74,7;54,5;44,2;33,9;18;Kompaktklasse 
Citroën;e-Jumpy Kombi M (50 kWh);E;100;44230;100,5;71,6;57,4;42,7;18;Van
Citroën;e-Spacetourer M (50 kWh) Plus;E;100;46230;105,1;75,2;60,6;45,4;18;Van
CUPRA;Born (60 kWh);E;170;41450;82,1;59,7;48,9;37,8;18;Kompaktklasse
CUPRA;Leon VZ 2.0 TSI DSG;SP;221;48140;105;79,4;67,1;55,1;18;Kompaktklasse
CUPRA;Leon 2.0 TDI DSG;D;110;41725;89,5;65,3;54,7;43,7;18;Kompaktklasse
CUPRA;Born (77 kWh);E;170;47250;89,7;64,7;52,7;40,3;18;Kompaktklasse
CUPRA;Born VZ;E;240;52770;100,3;73,2;60,2;46,8;18;Kompaktklasse 
CUPRA;Formentor 1.5 e-HYBRID DSG;S/E;150;48030;84;62,4;51,7;41,3;18;Kompakt-SUV 
CUPRA;Formentor 1.5 TSI;S;110;39420;83,7;63,5;54;44,4;18;Kompakt-SUV 
CUPRA;Formentor 2.0 TDI DSG;D;110;44040;92,6;67,9;56,7;45,1;18;Kompakt-SUV 
CUPRA;Leon 1.5 e-HYBRID DSG;S/E;150;43350;82,1;60,3;49,6;39;18;Kompaktklasse
CUPRA;Leon Sportstourer 1.5 e-HYBRID DSG;S/E;150;45545;82,6;60,9;50,2;39,7;18;Kompaktklasse
CUPRA;Leon Sportstourer VZ 2.0 TSI 4Drive DSG;SP;245;53610;112,8;85,4;72,2;59,2;18;Kompaktklasse 
CUPRA;Leon Sportstourer 2.0 TDI DSG;D;110;43950;89,6;65,6;55;44,2;18;Kompaktklasse
CUPRA;Tavascan Endurance;E;210;53240;97,2;71,1;58,6;45,8;18;Mittelklasse-SUV 
CUPRA;Ateca 1.5 TSI DSG;S;110;43380;86,8;66,1;56,6;46,6;18;Kompakt-SUV
CUPRA;Terramar 1.5 e-HYBRID DSG;S/E;150;50030;85,1;63,1;52,6;42,1;18;Kompakt-SUV
CUPRA;Terramar 1.5 ETSI DSG;S;110;43020;84,1;64,2;54,7;45,3;18;Kompakt-SUV
Dacia;Spring Electric 45 Essential;E;33;16900;41,1;29,8;24,9;19,1;18;Kleinstwagen
DS Automobiles;DS 3 E-Tense Pallas;E;115;41500;79,1;58,3;47,4;36,7;18;Kleinwagen-SUV
DS Automobiles;DS 3 MHEV 136 Pallas eDCT-6;S;100;32690;71,6;54,5;45,6;37;18;Kleinwagen-SUV
DS Automobiles;DS 4 Plug-in-Hybrid 225 Pallas Automatik;S/E;165;44900;86,9;64,5;53;41,5;18;Kompaktklasse
DS Automobiles;DS 4 Hybrid 136 Pallas eDCT-6;S;100;38640;84,8;63,5;53;42,4;18;Kompaktklasse
DS Automobiles;DS 4 BlueHDi 130 Pallas Automatik;D;96;39640;88,4;65;53,6;42;18;Kompaktklasse
DS Automobiles;DS 7 E-Tense 225 Pallas Automatik;S/E;165;53400;94,9;70,6;58,8;46,3;18;Kompakt-SUV
DS Automobiles;DS 7 BlueHDi 130 Pallas Automatik;D;96;48160;96,4;71,2;59,1;46,5;18;Kompakt-SUV
Fiat;500e (23,8 kWh) RED;E;70;29490;61,5;45,1;36,8;28,5;18;Kleinstwagen
Fiat;500e (42 kWh) RED;E;87;33490;66,1;48,3;39,4;30,3;18;Kleinstwagen
Fiat;500e 3+1 (23,8 kWh) RED;E;70;30490;64,2;47,1;38,5;29,9;18;Kleinstwagen
Fiat;Pandina 1.0 GSE Hybrid Cross;S;51;19990;55,2;41,8;36,2;30,1;18;Kleinstwagen
Fiat;500e 3+1 (42 kWh) RED;E;87;34490;68,1;49,9;40,7;31,5;18;Kleinstwagen
Fiat;500e Cabrio (23,8 kWh) RED;E;70;32490;66,3;48,4;39,4;30,4;18;Kleinstwagen
Fiat;500e Cabrio (42 kWh) RED;E;87;36490;71,2;51,8;42,1;32,3;18;Kleinstwagen
Fiat;600e RED;E;115;36490;77,4;56,7;46,1;35,5;18;Kleinwagen-SUV
Ford;Capri Extended Range (77 kWh) Premium;E;210;55400;102,2;74,3;61;47,5;18;Kompakt-SUV 
Ford;Capri Extended Range (79 kWh) Premium AWD;E;250;59400;107,1;78,1;64,4;50,3;18;Kompakt-SUV 
Ford;Capri Standard Range (52 kWh) Premium;E;125;48400;90,9;65,3;53,2;40,7;18;Kompakt-SUV 
Ford;Explorer EV Extended Range (77 kWh) Premium;E;210;52900;99,1;72,2;59,5;46,4;18;Mittelklasse-SUV
Ford;Explorer EV Extended Range (79 kWh) Premium AWD;E;250;56900;104,4;76,3;63;49,4;18;Mittelklasse-SUV
Ford;Explorer EV Standard Range (52 kWh) Premium;E;125;46200;89,7;64,5;52,5;40,2;18;Mittelklasse-SUV
Ford;Kuga 2.5 PHEV Titanium CVT;S/E;178;46850;88,6;64,1;52,4;40,9;18;Kompakt-SUV
Ford;Kuga 1.5 EcoBoost Titanium;S;111;39950;85,3;63,9;53,7;43,5;18;Kompakt-SUV
Ford;Kuga Active 2.5 PHEV CVT;S/E;178;48550;90,2;65,3;53,5;41,8;18;Kompakt-SUV
Ford;Mustang Mach-E Extended Range Premium;E;216;58500;107,3;76,4;61,6;46,5;18;Mittelklasse-SUV 
Ford;Mustang Mach-E Rally;E;358;80300;139,7;100;80,9;61,4;18;Mittelklasse-SUV 
Ford;Mustang Mach-E Standard Range;E;198;55800;103,6;75,1;61,6;47,4;18;Mittelklasse-SUV 
Ford;Puma Gen-E;E;124;36900;70,2;50,1;40,7;31;18;Kleinwagen-SUV
Ford;Tourneo Connect 1.5 EcoBoost PHEV Trend Automatik;S/E;110;43000;85,7;62,5;51,2;39,8;18;Hochdachkombi / Kompaktvan
Ford;Tourneo Connect 1.5 EcoBoost Trend;S;85;31400;77,2;58,6;49,5;41,3;18;Hochdachkombi / Kompaktvan
Honda;CR-V 2.0 i-MMD e:PHEV Advance Tech 2WD e-CVT;S/E;135;60800;101;73,1;59,5;46,1;18;Kompakt-SUV
Honda;CR-V 2.0 i-MMD e:HEV Elegance 2WD e-CVT;S;135;49600;96;71,4;59,5;47,7;18;Kompakt-SUV
Honda;e:Ny1;E;150;38990;83,2;62,3;51,2;40,2;18;Kompakt-SUV
Honda;ZR-V 2.0 i-MMD e:HEV Elegance;S;135;42900;87,7;65,3;54,3;43,5;18;Kompakt-SUV
Hyundai;Inster (42 kWh) Select;E;71;23900;53;37,8;31,3;24,2;18;Kleinstwagen
Hyundai;Bayon 1.0 T-GDI Select;S;74;22900;59,6;45,1;38,4;32;18;Kleinwagen-SUV
Hyundai;Inster (49 kWh) Select;E;85;25400;54,3;38,8;32,2;25;18;Kleinstwagen
Hyundai;IONIQ 5 (63 kWh) 2WD;E;125;43900;85,9;61,4;50,5;38,8;18;Mittelklasse-Crossover 
Hyundai;IONIQ 5 (84 kWh) DYNAMIQ 2WD;E;168;51650;95,3;67,7;55,2;42;18;Mittelklasse-Crossover 
Hyundai;IONIQ 5 N;E;448;74900;132,1;96,6;80,4;63,4;18;Performance-Crossover 
