name,type,lat,lon,capacity_mw
Unbekannt,Wind,51.49569534,9.140621145,1.2
Unbekannt,Wind,48.07798555,12.39392679,1.26
Unbekannt,Wind,51.76616018,8.037734875,1.2
Unbekannt,Wind,53.94896472,10.74668529,9.45
Unbekannt,Wasserkraft,47.84440154,12.05169958,1.25
Unbekannt,Bioenergy,51.02161208,7.355586645,1.826
Unbekannt,Bioenergy,51.02161208,7.355586645,1.564
Unbekannt,Bioenergy,49.00628524,10.40170426,5.0
Unbekannt,Wind,53.78206201,9.229824738,1.5
Unbekannt,Bioenergy,52.18348633,13.49483955,4.997
Unbekannt,Wind,54.49671368,9.867676633,1.5
Unbekannt,Bioenergy,51.41600887,12.41556752,1.727
Unbekannt,Wind,52.41646206,8.466764431,1.5
Unbekannt,Wind,53.58711763,7.448692843,1.5
Unbekannt,Wind,53.90769205,9.143293938,1.5
Unbekannt,Wind,53.35891217,7.257672336,1.5
Unbekannt,Bioenergy,54.3609255,13.47578167,1.467
Unbekannt,Bioenergy,50.76263511,12.02554862,1.233
Unbekannt,Wind,50.48250243,11.37400642,1.5
Unbekannt,Wind,49.83935937,8.168516606,1.5
Unbekannt,Wind,51.22643538,9.593497418,1.5
Unbekannt,Wind,51.22643538,9.593497418,1.5
Unbekannt,Wind,51.52664942,8.731269143,1.5
Unbekannt,Wind,54.63417172,13.32809684,1.5
Unbekannt,Wasserkraft,50.99245131,12.9779191,5.16
Unbekannt,Wind,52.06462095,10.31621312,1.5
Unbekannt,Bioenergy,48.37966531,11.87393399,1.449
Unbekannt,Wind,54.031265,13.7184071,1.5
Unbekannt,Wind,52.06462095,10.31621312,1.5
Unbekannt,Bioenergy,51.47388224,7.260229562,4.968
Unbekannt,Bioenergy,53.40894847,11.23526762,5.0
Unbekannt,Wind,51.09284122,13.44652411,1.5
Unbekannt,Bioenergy,53.57789025,7.75665444,1.064
Unbekannt,Bioenergy,51.07538779999999,13.7259707,1.24
Unbekannt,Bioenergy,49.12496191,9.762847452,2.904
Unbekannt,Bioenergy,52.98933960000001,9.844029674,2.025
Unbekannt,Solar,48.13301629,11.68778866,1.016
Unbekannt,Wind,47.90596555,8.650292967,1.8
Unbekannt,Wind,50.77268417,6.045052118,1.5
Unbekannt,Wasserkraft,50.4678938,12.60301689,1.71
Unbekannt,Wind,50.35176744,6.420458541,1.5
Unbekannt,Bioenergy,53.27913727,9.321984164,1.17
Unbekannt,Wind,54.63417172,13.32809684,1.65
Unbekannt,Wind,53.58711763,7.448692843,1.5
Unbekannt,Wind,50.56501127,9.191357204,1.5
Unbekannt,Wind,52.93665267,8.23501927,1.5
Unbekannt,Wind,54.58959575,9.067206422,1.5
Unbekannt,Wind,54.58959575,9.067206422,1.5
Unbekannt,Wind,52.18286546,9.630730623,1.5
Unbekannt,Wasserkraft,48.29505448,11.49347139,1.2
Unbekannt,Wind,51.50920631,9.942743214,1.5
Unbekannt,Bioenergy,54.11582859999999,11.85241151,1.833
Unbekannt,Bioenergy,49.17056112,8.631221442,1.095
Unbekannt,Wind,51.50265475,10.81927606,1.5
Unbekannt,Wind,50.69515635,11.9065028,1.5
Unbekannt,Wind,50.01459181,10.95159613,1.1
Unbekannt,Wasserkraft,51.1636514,9.054870232,3.2
Unbekannt,Wind,51.03940846,14.90662982,1.5
Unbekannt,Wind,48.07798555,12.39392679,1.1
Unbekannt,Wind,51.7199406,8.828694039,1.5
Unbekannt,Bioenergy,53.90992639,11.58047287,4.95
Unbekannt,Wind,51.7199406,8.828694039,1.5
Unbekannt,Wind,53.49395569,10.02784371,1.5
