Segment,Modell,Verbrauch_(kWh/100km),Testart
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Opel Combo-e,23.7,Unabhängiger Verbauchstest
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Nissan e-NV200 Evalia (40 kWh),28.1,Unabhängiger Verbauchstest
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Citroen e-Spacetourer,29.7,Unabhängiger Verbauchstest
"UTILITIES, MINI-VANS & GROSSRAUM_VANS",Mercedes EQV 300,30.9,Unabhängiger Verbauchstest
SONSTIGE,MG Cyberster (Misch ohne Ladeverluste),17.2,Unabhängiger Verbauchstest
SONSTIGE,MG Cyberster (Misch mit Ladeverlusten),19.7,Unabhängiger Verbauchstest
SONSTIGE,MG Cyberster (Autobahn),21.1,Unabhängiger Verbauchstest
MINI & KLEINWAGEN,Dacia Spring Electric,13.9,WLTP
MINI & KLEINWAGEN,Hyundai Ioniq Elektro Style,13.8,WLTP
MINI & KLEINWAGEN,Hyundai Kona Elektro,14.7,WLTP
MINI & KLEINWAGEN,Fiat 500e Cabrio Icon,14.7,WLTP
MINI & KLEINWAGEN,Mini Cooper SE,15.8,WLTP
MINI & KLEINWAGEN,Opel Corsa-e Elegance,15.6,WLTP
MINI & KLEINWAGEN,Kia e-Soul Spirit,15.7,WLTP
MINI & KLEINWAGEN,Smart Forfour EQ passion,15.9,WLTP
MINI & KLEINWAGEN,Renault Twingo Electric,16.0,WLTP
MINI & KLEINWAGEN,BMW i3,15.3,WLTP
MINI & KLEINWAGEN,Citroën ë-C3,17.1,WLTP
MINI & KLEINWAGEN,Renault Zoe Intens (41 kWh),17.2,WLTP
MINI & KLEINWAGEN,Peugeot e-208 GT,17.6,WLTP
MINI & KLEINWAGEN,Honda e Advance,17.8,WLTP
MINI & KLEINWAGEN,Renault Zoe R135,17.7,WLTP
KOMPAKTKLASSE,Citroen e-C4 Shine,15.3,WLTP
KOMPAKTKLASSE,Cupra Born,15.5,WLTP
KOMPAKTKLASSE,VW ID.3,16.1,WLTP
KOMPAKTKLASSE,Polestar 2 Long Range Single Motor,17.1,WLTP
KOMPAKTKLASSE,Opel Mokka-e,17.4,WLTP
KOMPAKTKLASSE,DS3 Crossback E-Tense,17.6,WLTP
KOMPAKTKLASSE,Peugeot e-2008 GT,17.8,WLTP
KOMPAKTKLASSE,Kia e-Niro Spirit,15.9,WLTP
KOMPAKTKLASSE,MG ZS EV Luxury,18.6,WLTP
KOMPAKTKLASSE,Mazda MX-30,19.0,WLTP
MITTELKLASSE,Tesla Model 3 Standard Range Plus,14.3,WLTP
MITTELKLASSE,Hyundai Ioniq 5 (63 kWh Batterie),15.6,WLTP
MITTELKLASSE,Tesla Model 3 Long Range AWD,16.0,WLTP
MITTELKLASSE,Ford Mustang Mach-E,16.5,WLTP
MITTELKLASSE,Kia EV6 RWD,16.5,WLTP
MITTELKLASSE,Skoda Enyaq iV 80,16.7,WLTP
MITTELKLASSE,Hyundai Ioniq 5,16.8,WLTP
